,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,13,29,106,99,253,199,240,207,254,227,97,22,27,54,94,81
1,80,62,250,79,151,134,179,98,45,91,83,111,200,193,35,181
2,168,31,37,43,58,180,84,206,137,191,148,72,201,76,140,1
3,217,145,178,110,204,90,96,210,104,88,17,243,75,164,133,14
4,223,252,71,170,100,109,87,56,11,69,9,183,92,132,16,36
5,23,198,135,159,105,5,78,173,251,187,123,129,50,138,49,126
6,205,70,242,108,157,154,101,234,68,237,53,177,18,238,146,64
7,21,139,42,162,112,221,30,7,103,93,95,216,212,246,115,38
8,192,215,244,51,142,247,12,195,197,186,214,188,122,203,44,219
9,196,63,73,85,48,74,147,60,202,225,113,34,150,245,182,156
10,169,107,144,0,184,190,59,128,232,189,175,121,120,211,40,249
11,167,231,131,57,20,218,224,33,220,230,15,235,3,67,32,209
12,119,52,65,86,185,241,208,116,55,39,239,41,213,149,163,8
13,46,236,66,152,10,47,194,114,171,89,102,124,26,118,158,174
14,233,255,141,130,172,248,228,143,25,155,6,2,166,161,28,117
15,125,82,4,226,153,160,176,61,165,222,19,77,24,127,229,136
